­¶½X,¤º®e,
160,"Defendants erroneously characterize the issue as one of fact, i.e., the sufficiency of the evidence to sustain the court's findings  and conclusions about the modified eligibility rule.  Since defendants have abandoned their appeal, the sufficiency of the  evidence is not in issue and must be presumed. Cases based on the Clayton Act, however, are not applicable since that act is broader in its scope and prohibitions (  Rolley,  Inc. v. Merle Norman Cosmetics, Inc., 129 Cal.App.2d 844 [278 P.2d 63, 282 P.2d 991] ).",
161,"Although  Timken Roller Bearing Co. v. United States (1951) 341 U.S. 593 [71 S.Ct. 971, 95 L.Ed. 1199] , and  White Motor Co.  v. United States (1963) 372 U.S. 253 [83 S.Ct. 696, 9 L.Ed.2d 738] , indicate that only certain tying arrangements are in the per  se category, the court indicated in the  Northern Pac . case, at page 6, that tying agreements ""are unreasonable in and of  themselves whenever a party has sufficient economic power with respect to the tying product to appreciably restrain free  competition in the market for the tied product and a 'not insubstantial' amount of interstate commerce is affected."" CA(2) [ ]  (2)    HN3 [ ]",
163,"As the parties agree that there are approximately 190,000 men and women league bowlers in northern California, about  152,000 bowl in only one league; 38,000 in more than one league; the number interested in local or regional tournaments is  47,000; the great majority of the 47,000 interested in local or regional tournaments are to be found in the 38,000 who bowl in  more than one league.",
165,"Reimel v. Alcoholic Beverage Control Appeals Board Reporter 256 Cal. App. 2d 158 *; 64 Cal. Rptr. 26 **; 1967 Cal. App. LEXIS 1839 *** Core Terms LexisNexisÂ® Headnotes James O. Reimel v. Alcoholic Beverage Control Appeals Board (Jack Dorian et al.), Civ. No. 22906; James O. Reimel v.  Alcoholic Beverage Control Appeals Board (Catherine Carella et al.), Civ. No. 22994; James O. Reimel v. Alcoholic Beverage  Control Appeals Board (Michael Carella et al.), Civ. No. 22995; James O. Reimel v. Alcoholic Beverage Control Appeals Board  (Charles Cohon et al.), Civ. No. 23282; James O. Reimel v. Alcoholic Beverage Control Appeals Board (Fred Lancelotti et al.),  Civ. No. 23401.",
169,Headnotes/Summary Intoxicating Liquors?”Alcoholic Beverage Control Act?”Offenses.  Id.?”Alcoholic Beverage Control Act?”Duty of Enforcement.,
170,"Words and Phrases??Publish.""""  Statutes?”Construction?”Giving Effect to Statute.  Id.?”Construction?”Giving Effect to Statute.  Intoxicating Liquors?”Alcoholic Beverage Control Act?”Suspension of License.  Statutes?”Construction?”Aids to Construction?”Departmental Construction.""",
171,Id.?”Construction?”Reference to Other Laws.  Id.?”Construction?”Departure From Literal Meaning.  Intoxicating Liquors?”Alcoholic Beverage Control?”Licensing Agency?”Rules and Regulations.  Id.?”Alcoholic Beverage Control Act?”Construction.  Statutes?”Construction?”Change of Language.  Intoxicating Liquors?”Alcoholic Beverage Control Act?”Revocation and Suspension of License?”Sufficiency of  Evidence.,
172,Id.?”Alcoholic Beverage Control Act?”Validity.  Id.?”Alcoholic Beverage Control Act?”Validity.  Id.?”Alcoholic Beverage Control Act?”Validity.  Id.?”Alcohol Beverage Control Act?”Validity.  Id.?”Alcoholic Beverage Control Act?”Revocation and Suspension of License?”Evidence.,
173,Id.?”Alcoholic Beverage Control Act?”Revocation and Suspension of License.  Id.?”Alcoholic Beverage Control Act?”Review.  Id.?”Alcoholic Beverage Control Act?”Grounds for Revocation and Suspension.  Id.?”Alcoholic Beverage Control Act?”Judicial Review.,
174,Opinion Assigned by the Chairman of the Judicial Council. All statutory references unless otherwise noted are to Business and Professions Code.,
175,"Section 24755  also delineates ""trading area"" for which the minimum retail price schedules may be filed separately and  differently.  Here we are concerned with the northern California trading area. Effective November 8, 1967,  section 24755  was again amended.  Among the changes the requirement of publication was  deleted. ""The [Department] may adopt such rules as it determines to be necessary for the Administration of sections 24754 to 24756  inclusive.  . . ."" (  Bus. & Prof. Code, Â§ 24757 .) This is the only contention urged by respondent Appeals Board.",
